"test_prop"	"lng"	"ED"	"NED"	"B3_F1"
0.5	"Fadashi"	1.273	0.236	0.651
0.5	"Maiyu"	1.484	0.284	0.626
0.5	"Undulu"	1.451	0.27	0.635
0.5	"Albanian"	3.027	0.833	0.298
0.5	"English"	2.493	0.706	0.348
0.5	"French"	2.681	0.707	0.329
0.5	"German"	2.292	0.617	0.362
0.5	"Latin"	3.517	0.712	0.238
0.5	"Dashi"	1.047	0.312	0.641
0.5	"Ega"	0.864	0.263	0.66
0.5	"Enqi"	0.911	0.258	0.667
0.5	"Gongxing"	1.184	0.336	0.58
0.5	"Jinman"	1.031	0.317	0.622
0.5	"Jinxing"	0.803	0.23	0.71
0.5	"Mazhelong"	0.938	0.267	0.667
0.5	"ProtoBai"	1.185	0.308	0.639
0.5	"Tuoluo"	1.045	0.29	0.687
0.5	"Zhoucheng"	0.675	0.213	0.716
0.5	"Kayah"	0.383	0.113	0.828
0.5	"Kayan"	0.621	0.158	0.783
0.5	"Kayaw"	0.299	0.089	0.87
0.5	"NorthernPao"	0.563	0.131	0.816
0.5	"NorthernPwo"	0.952	0.259	0.692
0.5	"ProtoKaren"	0.558	0.135	0.827
0.5	"SouthernPao"	0.424	0.097	0.841
0.5	"WesternBwe"	0.638	0.191	0.757
0.5	"Duhumbi"	0.933	0.379	0.517
0.5	"Jerigaon"	0.427	0.182	0.761
0.5	"Khispi"	0.851	0.347	0.529
0.5	"Khoina"	0.597	0.257	0.684
0.5	"Khoitam"	0.302	0.128	0.814
0.5	"Rahung"	0.354	0.145	0.782
0.5	"Rupa"	0.376	0.156	0.778
0.5	"Shergaon"	0.371	0.162	0.763
0.5	"Beijing"	0.174	0.051	0.918
0.5	"Changsha"	0.355	0.106	0.847
0.5	"Chaozhou"	1.216	0.323	0.563
0.5	"Chengdu"	0.12	0.033	0.948
0.5	"Fuzhou"	0.749	0.197	0.726
0.5	"Guangzhou"	0.598	0.165	0.737
0.5	"Hankou"	0.189	0.055	0.914
0.5	"Jinan"	0.174	0.052	0.92
0.5	"Meixian"	0.51	0.139	0.781
0.5	"Nanchang"	0.514	0.141	0.798
0.5	"Shanghai"	0.544	0.157	0.763
0.5	"Shuangfeng"	0.668	0.189	0.741
0.5	"Suzhou"	0.359	0.101	0.842
0.5	"Taiyuan"	0.347	0.086	0.855
0.5	"Wenzhou"	0.911	0.27	0.624
0.5	"Xiamen"	0.61	0.163	0.756
0.5	"XiAn"	0.332	0.097	0.86
0.5	"Yangzhou"	0.382	0.103	0.845
0.5	"ZhongyuanYinyun"	0.444	0.11	0.832
