svm-0.8	7	Purus	0.6478	0.1190	0.8074
svm-0.8	8	Purus	0.5912	0.1099	0.8200
svm-0.8	9	Purus	0.5660	0.1117	0.8345
svm-0.8	10	Purus	0.6289	0.1226	0.8048
svm-0.8	1	Romance	1.7086	0.2040	0.7274
svm-0.8	2	Romance	1.6808	0.2018	0.7268
svm-0.8	3	Romance	1.6953	0.2053	0.7232
svm-0.8	4	Romance	1.7450	0.2096	0.7180
svm-0.8	5	Romance	1.7242	0.2067	0.7197
svm-0.8	6	Romance	1.7152	0.2051	0.7242
svm-0.8	7	Romance	1.7095	0.2070	0.7223
svm-0.8	8	Romance	1.7468	0.2105	0.7165
svm-0.8	9	Romance	1.7456	0.2090	0.7204
svm-0.8	10	Romance	1.6959	0.2046	0.7251
