test_prop	valid	lng	ED	NED	B3_F1
0.30	0	[Khoina]	0.7891	0.3455	0.6635
0.30	0	[Khoitam]	0.2655	0.1121	0.836
0.30	0	[Rahung]	0.3382	0.1412	0.8086
0.30	0	[Rupa]	0.44	0.1842	0.7768
0.30	0	[Shergaon]	0.4982	0.2218	0.7419
0.30	0	runtime	5.0913
0.30	0	samples_per_second	2275.654
0.30	0	steps_per_second	9.035
0.50	0	loss	2.5497562885284424
0.50	0	[1]	1.2549	0.2742	0.6751
0.50	0	[10]	1.0444	0.2244	0.735
0.50	0	[2]	1.1442	0.2631	0.7225
0.50	0	[3]	1.4074	0.3433	0.6739
0.50	0	[4]	1.1579	0.2802	0.7307
0.50	0	[5]	1.6364	0.4513	0.7169
0.50	0	[6]	1.0182	0.2292	0.7179
0.50	0	[7]	1.4688	0.3417	0.6804
0.50	0	[8]	1.0208	0.229	0.7233
0.50	0	[9]	1.9574	0.3965	0.6411
0.50	0	[Albanian]	2.8378	0.729	0.3664
0.50	0	[English]	2.5946	0.668	0.3832
0.50	0	[French]	2.9277	0.7254	0.3423
0.50	0	[German]	2.8611	0.6709	0.3617
0.50	0	[Latin]	2.8391	0.6611	0.3699
0.50	0	[BelejeGonfoye]	1.8434	0.3448	0.5851
0.50	0	[Fadashi]	1.4343	0.262	0.6412
0.50	0	[Maiyu]	1.8925	0.3474	0.5897
0.50	0	[Undulu]	1.4835	0.2668	0.6262
0.50	0	[Kayah]	1.2951	0.4058	0.7087
0.50	0	[Kayan]	1.3022	0.3403	0.6665
0.50	0	[Kayaw]	0.6033	0.1884	0.8063
0.50	0	[NorthernPao]	1.1263	0.2956	0.7605
0.50	0	[NorthernPwo]	1.6429	0.4462	0.6321
0.50	0	[ProtoKaren]	1.1842	0.3061	0.7281
0.50	0	[SouthernPao]	0.663	0.1693	0.7985
0.50	0	[WesternBwe]	1.2086	0.3742	0.7387
0.50	0	[Dashi]	1.1757	0.3644	0.6683
0.50	0	[Ega]	1.0801	0.321	0.6264
0.50	0	[Enqi]	1.4	0.4138	0.5794
0.50	0	[Gongxing]	1.4754	0.4444	0.5552
0.50	0	[Jinman]	1.1608	0.3562	0.6157
0.50	0	[Jinxing]	1.0485	0.3099	0.694
0.50	0	[Mazhelong]	1.0934	0.3289	0.6755
0.50	0	[ProtoBai]	1.672	0.4634	0.5641
0.50	0	[Tuoluo]	1.5145	0.4417	0.5908
0.50	0	[Zhoucheng]	0.9932	0.2993	0.6563
0.50	0	[BanPaw]	0.9355	0.3432	0.7809
0.50	0	[ChaYeQing]	0.9333	0.3289	0.6634
0.50	0	[ChuDongGua]	1.0215	0.3615	0.6522
0.50	0	[GuangKa]	1.0667	0.3804	0.6344
0.50	0	[HtanHsan]	1.1084	0.39	0.6653
0.50	0	[KhunHawt]	1.1282	0.4011	0.6432
0.50	0	[MangBang]	0.989	0.3518	0.6455
0.50	0	[ManLoi]	0.9895	0.3586	0.7109
0.50	0	[MengDan]	1.0444	0.3715	0.7086
0.50	0	[NamHsan]	1.1548	0.4147	0.6563
0.50	0	[NanSang]	1.043	0.364	0.6383
0.50	0	[NoeLae]	0.9479	0.3498	0.7466
0.50	0	[NyaungGone]	1.0319	0.3766	0.7262
0.50	0	[PangKham]	0.8602	0.3086	0.7381
0.50	0	[PongNuea]	0.9362	0.3443	0.6999
0.50	0	[XiangZhaiTang]	0.914	0.3323	0.6969
0.50	0	[cojubim]	1.2464	0.256	0.6935
0.50	0	[jaru]	2.4333	0.3889	0.5296
0.50	0	[kitemoka]	3.2391	0.5279	0.4099
0.50	0	[more]	1.8837	0.3528	0.5642
0.50	0	[orowin]	2.0	0.3347	0.5956
0.50	0	[tapakura]	2.5306	0.416	0.5148
0.50	0	[tora]	2.0139	0.3785	0.5361
0.50	0	[urupa]	2.125	0.3658	0.5681
0.50	0	[wanyam]	2.2093	0.3527	0.603
0.50	0	[wari]	2.4286	0.4155	0.5372
0.50	0	[AchangLongchuan]	1.795	0.4584	0.493
0.50	0	[Atsi]	1.6296	0.4322	0.525
0.50	0	[Bola]	1.5978	0.4194	0.5759
0.50	0	[Lashi]	1.9809	0.5384	0.4778
0.50	0	[Maru]	1.7632	0.4711	0.5402
0.50	0	[OldBurmese]	1.8081	0.5035	0.5392
0.50	0	[ProtoBurmish]	1.9395	0.5085	0.5265
0.50	0	[Rangoon]	2.9118	0.7895	0.3293
0.50	0	[Xiandao]	1.9897	0.5233	0.436
0.50	0	[Beijing]	0.9614	0.2789	0.7629
0.50	0	[Changsha]	1.4093	0.4065	0.6285
0.50	0	[Chaozhou]	2.0	0.5342	0.4689
0.50	0	[Chengdu]	0.7143	0.1946	0.7641
0.50	0	[Fuzhou]	1.5676	0.4032	0.5557
0.50	0	[Guangzhou]	1.9614	0.5514	0.5472
0.50	0	[Hankou]	0.8031	0.2291	0.7275
0.50	0	[Jinan]	1.2085	0.36	0.6713
0.50	0	[Meixian]	1.1853	0.3181	0.6235
0.50	0	[Nanchang]	1.2046	0.3295	0.6669
0.50	0	[Shanghai]	1.6023	0.4564	0.5417
0.50	0	[Shuangfeng]	1.7104	0.488	0.5365
0.50	0	[Suzhou]	1.6371	0.4609	0.5722
0.50	0	[Taiyuan]	1.0502	0.264	0.6892
0.50	0	[Wenzhou]	1.9537	0.5701	0.4555
0.50	0	[Xiamen]	1.7452	0.4754	0.5623
0.50	0	[XiAn]	0.8803	0.264	0.7089
0.50	0	[Yangzhou]	1.1583	0.3152	0.6749
0.50	0	[ZhongyuanYinyun]	1.1931	0.2954	0.6604
0.50	0	[Duhumbi]	0.6418	0.2641	0.65
0.50	0	[Jerigaon]	0.5189	0.2207	0.7304
0.50	0	[Khispi]	0.8362	0.3433	0.5556
0.50	0	[Khoina]	0.7926	0.3527	0.641
0.50	0	[Khoitam]	0.34	0.145	0.7944
0.50	0	[Rahung]	0.3928	0.1661	0.7739
0.50	0	[Rupa]	0.4778	0.1996	0.7474
0.50	0	[Shergaon]	0.4988	0.213	0.7216
0.50	0	runtime	8.6695
0.50	0	samples_per_second	2087.889
0.50	0	steps_per_second	8.19
