test_prop	valid	lng	ED	NED	B3_F1
0.8	4	Latin	1.7344	0.2111	0.7121
0.8	4	runtime	2.5546
0.8	4	samples_per_second	2095.05
0.8	4	steps_per_second	10.961
0.8	5	loss	2.1349527835845947
0.8	5	ProtoBurmish	1.1493	0.2979	0.6298
0.8	5	ProtoPurus	0.6038	0.117	0.824
0.8	5	ProtoLalo	0.8342	0.2595	0.6215
0.8	5	ProtoBai	1.0894	0.279	0.6228
0.8	5	ProtoKaren	0.8525	0.2236	0.7314
0.8	5	Latin	1.7344	0.2099	0.7104
0.8	5	runtime	2.5541
0.8	5	samples_per_second	2095.43
0.8	5	steps_per_second	10.963
0.8	6	loss	2.1009867191314697
0.8	6	ProtoBurmish	1.4729	0.3738	0.5595
0.8	6	ProtoPurus	0.5849	0.1083	0.8288
0.8	6	ProtoLalo	0.826	0.2607	0.6315
0.8	6	ProtoBai	1.0817	0.2761	0.6346
0.8	6	ProtoKaren	0.8817	0.2228	0.7253
0.8	6	Latin	1.6854	0.2045	0.7218
0.8	6	runtime	2.5664
0.8	6	samples_per_second	2085.402
0.8	6	steps_per_second	10.91
0.8	7	loss	2.074625015258789
0.8	7	ProtoBurmish	1.5243	0.3844	0.5424
0.8	7	ProtoPurus	0.673	0.1215	0.8096
0.8	7	ProtoLalo	0.8921	0.2752	0.6065
0.8	7	ProtoBai	1.2623	0.318	0.5807
0.8	7	ProtoKaren	0.8773	0.2324	0.725
0.8	7	Latin	1.7863	0.2191	0.7077
0.8	7	runtime	2.5951
0.8	7	samples_per_second	2062.334
0.8	7	steps_per_second	10.789
0.8	8	loss	2.209120512008667
0.8	8	ProtoBurmish	1.2857	0.3399	0.5931
0.8	8	ProtoPurus	0.7987	0.1518	0.7923
0.8	8	ProtoLalo	0.8247	0.2568	0.6321
0.8	8	ProtoBai	1.1243	0.2885	0.6188
0.8	8	ProtoKaren	0.9025	0.2369	0.7238
0.8	8	Latin	1.7273	0.2109	0.709
0.8	8	runtime	2.5527
0.8	8	samples_per_second	2096.623
0.8	8	steps_per_second	10.969
0.8	9	loss	2.1802804470062256
0.8	9	ProtoBurmish	1.4211	0.3638	0.5837
0.8	9	ProtoPurus	0.5786	0.1139	0.8373
0.8	9	ProtoLalo	0.8624	0.2674	0.6252
0.8	9	ProtoBai	1.0829	0.2794	0.624
0.8	9	ProtoKaren	0.8451	0.2217	0.7169
0.8	9	Latin	1.7633	0.2117	0.7067
0.8	9	runtime	2.5994
0.8	9	samples_per_second	2058.931
0.8	9	steps_per_second	10.772
0.8	10	loss	2.215771198272705
0.8	10	ProtoBurmish	1.2692	0.3276	0.6082
0.8	10	ProtoPurus	0.6918	0.1236	0.8029
0.8	10	ProtoLalo	0.8451	0.2628	0.62
0.8	10	ProtoBai	1.0359	0.2642	0.6351
0.8	10	ProtoKaren	0.8975	0.2321	0.717
0.8	10	Latin	1.6736	0.2016	0.7164
0.8	10	runtime	2.678
0.8	10	samples_per_second	1998.509
0.8	10	steps_per_second	10.456
