test_prop	valid	lng	ED	NED	B3_F1
0.50	0	[Tuoluo]	1.3859	0.3987	0.5811
0.50	0	[Zhoucheng]	0.6267	0.2	0.7391
0.50	0	[BanPaw]	0.7849	0.288	0.7648
0.50	0	[ChaYeQing]	0.8222	0.2972	0.6929
0.50	0	[ChuDongGua]	0.9785	0.345	0.6751
0.50	0	[GuangKa]	1.0778	0.3981	0.6514
0.50	0	[HtanHsan]	1.0241	0.3739	0.691
0.50	0	[KhunHawt]	1.1026	0.3985	0.6629
0.50	0	[MangBang]	1.011	0.3734	0.666
0.50	0	[ManLoi]	1.0421	0.3828	0.6918
0.50	0	[MengDan]	1.2222	0.4363	0.6188
0.50	0	[NamHsan]	1.0	0.3565	0.6896
0.50	0	[NanSang]	1.1087	0.3875	0.6193
0.50	0	[ZhongyuanYinyun]	0.8462	0.2088	0.7241
0.50	0	[NoeLae]	0.8646	0.3163	0.724
0.50	0	[NyaungGone]	1.0	0.3624	0.7035
0.50	0	[PangKham]	0.9247	0.3319	0.7009
0.50	0	[PongNuea]	0.8617	0.3186	0.7236
0.50	0	[XiangZhaiTang]	0.957	0.357	0.7044
0.50	0	[cojubim]	1.3913	0.3033	0.6416
0.50	0	[jaru]	2.6667	0.4245	0.5131
0.50	0	[kitemoka]	3.3478	0.5451	0.3946
0.50	0	[more]	1.9419	0.3488	0.5439
0.50	0	[orowin]	2.0843	0.345	0.5839
0.50	0	[tapakura]	2.4694	0.3971	0.4975
0.50	0	[tora]	2.3472	0.4494	0.4818
0.50	0	[urupa]	2.1458	0.3727	0.5636
0.50	0	[wanyam]	2.1163	0.3374	0.5814
0.50	0	[wari]	2.4881	0.4161	0.5333
0.50	0	[AchangLongchuan]	1.8261	0.4713	0.5276
0.50	0	[Atsi]	1.8889	0.4964	0.4394
0.50	0	[Bola]	1.3152	0.3467	0.6017
0.50	0	[Lashi]	1.9713	0.5226	0.4899
0.50	0	[Maru]	1.2263	0.3362	0.6184
0.50	0	[OldBurmese]	1.3333	0.3884	0.6268
0.50	0	[ProtoBurmish]	1.3395	0.3509	0.6072
0.50	0	[Rangoon]	2.5882	0.7141	0.3586
0.50	0	[Xiandao]	2.0464	0.5422	0.4656
0.50	0	[Beijing]	0.3359	0.0994	0.8509
0.50	0	[Changsha]	0.7799	0.2153	0.7447
0.50	0	[Chaozhou]	1.5212	0.4007	0.5217
0.50	0	[Chengdu]	0.2703	0.0737	0.9005
0.50	0	[Fuzhou]	1.0965	0.2876	0.6375
0.50	0	[Guangzhou]	1.3166	0.3767	0.6248
0.50	0	[Hankou]	0.2703	0.0781	0.8849
0.50	0	[Jinan]	0.6216	0.1949	0.8043
0.50	0	[Meixian]	0.8533	0.2241	0.6922
0.50	0	[Nanchang]	0.7761	0.2162	0.7326
0.50	0	[Shanghai]	1.1236	0.3214	0.622
0.50	0	[Shuangfeng]	1.2625	0.3648	0.6067
0.50	0	[Suzhou]	0.8147	0.2225	0.7177
0.50	0	[Taiyuan]	0.6757	0.1703	0.7747
0.50	0	[Wenzhou]	1.444	0.4284	0.5232
0.50	0	[Xiamen]	1.2162	0.3103	0.6336
0.50	0	[XiAn]	0.5869	0.1835	0.7986
0.50	0	[Yangzhou]	0.6448	0.1756	0.7769
0.50	0	[Duhumbi]	0.403	0.1673	0.7705
0.50	0	[Jerigaon]	0.5142	0.2195	0.7047
0.50	0	[Khispi]	0.5261	0.2155	0.6937
0.50	0	[Khoina]	0.7327	0.3264	0.641
0.50	0	[Khoitam]	0.3691	0.1588	0.7721
0.50	0	[Rahung]	0.3747	0.1593	0.783
0.50	0	[Rupa]	0.4867	0.2037	0.7244
0.50	0	[Shergaon]	0.6194	0.2723	0.6393
0.50	0	runtime	11.7428
0.50	0	samples_per_second	1541.459
0.50	0	steps_per_second	6.046
